Órgão/Secretaria;Número do Processo;Modalidade de Contratação;Empresa Contratada;Data da Assinatura;Data da Publicação;Prazo Contratual;Período do Prazo Contratual;Status da Licitação;licitacaoLink
Diretoria de Ensino Região de São Carlos;003/2020;PREGÃO ELETRÔNICO;ASSEJ – ASSOCIAÇÃO EDUCACIONAL DA JUVENTUDE;03/02/2020 00:00;03/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1387605
Centro de Progressão Penitenciária  Doutor Javert de Andrade;065/2019;PREGÃO ELETRÔNICO;GABRIELA PEREIRA DOS SANTOS ME;02/09/2019 00:00;03/03/2020 00:00;3;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1347158
Centro de Progressão Penitenciária  Doutor Javert de Andrade;066/2019;PREGÃO ELETRÔNICO;JURANDIR RODRIGUES DO NASCIMENTO ME;02/09/2019 00:00;03/03/2020 00:00;3;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1347158
Centro Especializado em Reabilitação Dr. Arnaldo Pezzuti Cavalcanti;2020CT00111;PREGÃO ELETRÔNICO;COMBULUZ DISTRIBUIDORA DE PETROLEO LTDA;21/02/2020 00:00;03/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1390313
Superintendência de Assistência Social - USP;042/2020;PREGÃO ELETRÔNICO;MINEIRÃO DISTRIBUIDORA LTDA. - ME;05/02/2020 00:00;03/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1380065
Defensoria Pública do Estado de São Paulo;2019NE00002;PREGÃO ELETRÔNICO;Educalibras Treinamento e Desenvolvimento do Idiom;16/01/2020 00:00;03/03/2020 00:00;1;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1333119
Companhia de Saneamento Básico do Estado de São Paulo;03285/19-3;PREGÃO ELETRÔNICO;TELEFONICA BRASIL S.A.;02/03/2020 00:00;03/03/2020 00:00;720;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1360999
Defensoria Pública do Estado de São Paulo;2020NE00002;PREGÃO ELETRÔNICO;Educalibras Treinamento e Desenvolvimento do Idiom;16/01/2020 00:00;03/03/2020 00:00;1;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1333119
Penitenciária João Augustinho Panucci de Marabá Paulista;088/2019-PMAPA;CHAMADA PÚBLICA;CÉLIA APARECIDA BENASSI MUNIZ;27/12/2019 00:00;03/03/2020 00:00;121;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1379551
25º Batalhão de Polícia Militar do Interior;2020CT00105;CONVITE;ECOFOREST IND E COM DE PLASTICOS LTDA ME;27/02/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393282
Defensoria Pública do Estado de São Paulo;2020NE00002;PREGÃO ELETRÔNICO;Educalibras Treinamento e Desenvolvimento do Idiom;16/01/2020 00:00;03/03/2020 00:00;1;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1333119
Penitenciária João Augustinho Panucci de Marabá Paulista;089/2019;CHAMADA PÚBLICA;LUIZ JOSE MUNIZ;27/12/2019 00:00;03/03/2020 00:00;121;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1379551
Delegacia Seccional de Policia de Dracena;43862;PREGÃO ELETRÔNICO;vencesfort dedetizadora eireli me;02/03/2020 00:00;03/03/2020 00:00;30;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389813
Penitenciária João Augustinho Panucci de Marabá Paulista;090/2019;CHAMADA PÚBLICA;MANOEL GETULIO QUEIROZ;27/12/2019 00:00;03/03/2020 00:00;121;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1379551
25º Batalhão de Polícia Militar do Interior;2020CT00106;CONVITE;PEDRO AUGUSTO DA CRUZ - EMPORIO ME ;27/02/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393282
25º Batalhão de Polícia Militar do Interior;2020CT00107;CONVITE;PONTO MIX COMERCIAL E SERVICOS EIRELI;27/02/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393282
25º Batalhão de Polícia Militar do Interior;2020CT00120;CONVITE;SACA E CAVALLO LTDA - ME;02/03/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393903
Penitenciária João Augustinho Panucci de Marabá Paulista;091/2019;CHAMADA PÚBLICA;MARCELO PIMENTA LOPES;27/12/2019 00:00;03/03/2020 00:00;121;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1379551
Penitenciária João Augustinho Panucci de Marabá Paulista;092/2019;CHAMADA PÚBLICA;MARCIAL FERNANDO DO PRADO;27/12/2019 00:00;03/03/2020 00:00;121;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1379551
Unesp Botucatu-Administração Geral;01/2020-AG;PREGÃO ELETRÔNICO;MILTON ANDRE DE BARROS & CIA LTDA - EPP;02/03/2020 00:00;03/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391355
Penitenciária João Augustinho Panucci de Marabá Paulista;093/2019;CHAMADA PÚBLICA;MARCOS APARECIDO MUNIZ;27/12/2019 00:00;03/03/2020 00:00;121;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1379551
25º Batalhão de Polícia Militar do Interior;2020CT00121;CONVITE;VITOR LOLI COMERCIO DE PRODUTOS ALIMENTIC;02/03/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393903
Delegacia Seccional de Polícia de Andradina;2019NE00260;DISPENSA;MOVIMENTE BRASIL EIRELI;30/10/2019 00:00;03/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1370536
25º Batalhão de Polícia Militar do Interior;2020CT00108;CONVITE;MUCCIO & MUCCIO LTDA - EPP;27/02/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393282
Superintendência da Polícia Técnico-Cientifíca;111/2019;DISPENSA;VENCESFORT DEDETIZADORA EIRELI ME;25/10/2019 00:00;03/03/2020 00:00;20;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1376451
Penitenciária João Augustinho Panucci de Marabá Paulista;094/2019;CHAMADA PÚBLICA;SEBASTIÃO BATISTA DE CARVALHO;27/12/2019 00:00;03/03/2020 00:00;121;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1379551
25º Batalhão de Polícia Militar do Interior;2020CT00122;CONVITE;VALERIA VIDOTO BOGAZ ME;02/03/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393903
Penitenciária João Augustinho Panucci de Marabá Paulista;2019NE00844;CONVITE;BELLIMP COM. PROD. HIGIENE E LIMPEZA EIRELLI;23/10/2019 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1364147
Penitenciária João Batista de Arruda Sampaio de Itirapina;061/2017;PREGÃO ELETRÔNICO;KERSIS SISTEMAS DE IMPRESSÃO E GESTÃO DE DOCUMENTO;05/02/2020 00:00;04/03/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1173957
Penitenciária João Augustinho Panucci de Marabá Paulista;2019NE00844;CONVITE;BELLIMP COM. PROD. HIGIENE E LIMPEZA EIRELLI;23/10/2019 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1364120
Penitenciária João Augustinho Panucci de Marabá Paulista;2019NE00845;CONVITE;ANA CAROLINA RAMIRES GUIRADO ME;23/10/2019 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1364120
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;005/2020 - HCFMB;PREGÃO ELETRÔNICO;EMPORIO HOSPITALAR COMÉRCIO DE PRODUTOS CIRURGICOS;03/03/2020 00:00;04/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1387676
Penitenciária Gilmar Monteiro de Souza de Balbinos;2020CT00063;CONVITE;J A COM. VAREJ. E ATACAD. SERV. E DIST. EIRELI;28/02/2020 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393449
Penitenciária João Augustinho Panucci de Marabá Paulista;2019NE00846;CONVITE;COMERCIO DE EMBALÇAGENS ADAMANTINA LTDA ME;23/10/2019 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1364120
Penitenciária João Batista de Arruda Sampaio de Itirapina;061/2017;PREGÃO ELETRÔNICO;KERSIS SISTEMAS DE IMPRESSÃO E GESTÃO  DOCUMENTOS ;05/02/2020 00:00;04/03/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1173957
Penitenciária João Augustinho Panucci de Marabá Paulista;2019NE00847;CONVITE;COMERCIO DE EMBALAGENS ADAMANTINA LTDA ME;23/10/2019 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1364120
Penitenciária João Augustinho Panucci de Marabá Paulista;2019NE00848;CONVITE;COMERCIAL DISCON LTDA;23/10/2019 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1364120
Penitenciária João Augustinho Panucci de Marabá Paulista;2019NE00849;CONVITE;PONTO MIX COMERCIAL E SERVIÇOS EIRELLI;23/10/2019 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1364120
25º Batalhão de Polícia Militar do Interior;2020CT00109;CONVITE;MUCCIO & MUCCIO LTDA - EPP;27/02/2020 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393282
Procuradoria Regional da Grande São Paulo;43374;PREGÃO ELETRÔNICO;MAURO RODRIGUES PEDROSO-ME;27/02/2020 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1251062
Diretoria de Ensino - Região de Guaratinguetá;2020NE00176;CONVITE;TORPEDO COMERCIO DE COMPUTADORES EIRELI E;03/03/2020 00:00;04/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393596
Diretoria de Ensino - Região de Guaratinguetá;2020NE00177;CONVITE;ERAGON COM. E SERV. DE INFO. E PAPELARIA;03/03/2020 00:00;04/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393596
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00988;PREGÃO ELETRÔNICO;BIOTRONIK COMERCIAL MEDICA LTDA;28/02/2020 00:00;04/03/2020 00:00;1;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1321987
Departamento Regional de Saúde de Araçatuba;2019CT00002;PREGÃO ELETRÔNICO;MARCOS OSIRES MARTINS - ME;24/01/2020 00:00;04/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1380405
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00991;PREGÃO ELETRÔNICO;TRADEHOSP COMÉRCIO DE PRODUTOS PARA SAÚDE EIRELI -;28/02/2020 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1342222
"UGA III - Hospital Infantil ""Darcy Vargas""";2020CT00164;PREGÃO ELETRÔNICO;PHO-PRODUTOS HOSPITALARES E ODONT LTDA;28/02/2020 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389121
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00987;PREGÃO ELETRÔNICO; CBS MEDICO CIENTIFICA COMERCIO E REPRESENTACAO LT;28/02/2020 00:00;04/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1338330
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00986;PREGÃO ELETRÔNICO; BECTON DICKINSON INDUSTRIA CIRURGICA LTDA;28/02/2020 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1323719
"UGA III - Hospital Infantil ""Darcy Vargas""";2020CT00165 ;PREGÃO ELETRÔNICO;NEUPHARMA DISTRIBUI¦`O DE MATERIAL M}DICO HOS;28/02/2020 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389121
Complexo Hospitalar Padre Bento em Guarulhos;018/2016;PREGÃO ELETRÔNICO;Pro - rad consultores em radioproteção s/s ltda;05/02/2020 00:00;04/03/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1071235
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00985;PREGÃO ELETRÔNICO;JOHNSON & JOHNSON DO BRASIL IND. COM. PROD. SAÚDE ;28/02/2020 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1352261
Penitenciária Nestor Canoa de Mirandópolis;068/2020;PREGÃO ELETRÔNICO;COLINA TRANSPORTE E COMERCIO DE CEREAIS EIRELI;17/02/2020 00:00;04/03/2020 00:00;73;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1375601
"UGA III - Hospital Infantil ""Darcy Vargas""";2020CT00168 ;PREGÃO ELETRÔNICO;INDMED HOSPITALAR EIRELI;28/02/2020 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389121
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00984;PREGÃO ELETRÔNICO;CBS MEDICO CIENTIFICA COMERCIO E REPRESENTACAO LTD;28/02/2020 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1311202
ITESP Fundação Instituto de Terras do Estado de São Paulo;018/2016;PREGÃO ELETRÔNICO;LASER SUL COM E SERV EIRELI EPP;27/02/2020 00:00;04/03/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1061065
Penitenciária Valentim Alves da Silva;20/2020;PREGÃO ELETRÔNICO;RODRIGO PAPILE LANEZA ME;01/01/2020 00:00;04/03/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1374540
"UGA III - Hospital Infantil ""Darcy Vargas""";2020CT00166 ;PREGÃO ELETRÔNICO;DANIEL FERRARI ABRANTES - DISTR. DE MED. ME;28/02/2020 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389121
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00983;PREGÃO ELETRÔNICO; MP COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;28/02/2020 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1377927
Penitenciária Valentim Alves da Silva;21/2020;PREGÃO ELETRÔNICO;RODRIGO PAPILE LANEZA ME;01/01/2020 00:00;04/03/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1380436
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00979;PREGÃO ELETRÔNICO;ONCORIO DIST. DE MEDICAMENTOS LTDA EPP;28/02/2020 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391269
"Penitenciária ""Nelson Vieira""";084/2019;PREGÃO ELETRÔNICO;SÃO JOÃO ALIMENTOS LTDA;27/12/2019 00:00;04/03/2020 00:00;3;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1371746
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00980;PREGÃO ELETRÔNICO;HALEX ISTAR INDUSTRIA FARMACEUTICA LTDA.;28/02/2020 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389688
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00981;PREGÃO ELETRÔNICO;TECNOVENT COMERCIO DE EQUIPAMENTOS MÉDICOS LTDA;28/02/2020 00:00;04/03/2020 00:00;60;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1383415
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00982;PREGÃO ELETRÔNICO;MULT MED EQUIPAMENTOS HOSPITALARES LTDA.;28/02/2020 00:00;04/03/2020 00:00;60;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1383415
"UGA III - Hospital Infantil ""Darcy Vargas""";2020CT00167;PREGÃO ELETRÔNICO;MANZATOS FARMA EIRELI;28/02/2020 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389121
"Penitenciária ""Nelson Vieira""";085/2019;PREGÃO ELETRÔNICO;PILAR CEREAIS LTDA - ME;27/12/2019 00:00;04/03/2020 00:00;3;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1371746
"Penitenciária ""Nelson Vieira""";086/2019;PREGÃO ELETRÔNICO;COMERCIAL DE ALIMENTOS L.M.B EIRELI;27/12/2019 00:00;04/03/2020 00:00;3;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1371746
Penitenciária Vereador Frederico Geometti de Lavínia;106/19PVFGL;PREGÃO ELETRÔNICO;COMPANHIA ULTRAGAZ S/A;04/12/2019 00:00;04/03/2020 00:00;365;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1376857
"Penitenciária ""Nelson Vieira""";087/2019;PREGÃO ELETRÔNICO;HYRE COMÉRCIO DE ALIMENTOS E BEBIDAS EIRELI;27/12/2019 00:00;04/03/2020 00:00;3;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1371746
"UGA III - Hospital Infantil ""Darcy Vargas""";2020CT00169 ;PREGÃO ELETRÔNICO;INTECQ - INSTITUTO DE PESQUISA TECNOLOGICA E;28/02/2020 00:00;04/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389121
"Penitenciária ""Nelson Vieira""";088/2019;PREGÃO ELETRÔNICO;MARIANA PINHEIRO SANCHES DA SILVA - ME;27/12/2019 00:00;04/03/2020 00:00;3;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1371746
Departamento Regional de Saúde de Sorocaba;33/2018;PREGÃO ELETRÔNICO;MEDSERV BAURU SERV.DE ASSIST.MEDICA LTDA;01/02/2020 00:00;04/03/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1240452
"Penitenciária ""Nelson Vieira""";089/2019;PREGÃO ELETRÔNICO;MOINHO GLOBO ALIMENTOS S/A;27/12/2019 00:00;04/03/2020 00:00;3;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1371746
Penitenciária Masculina de Ribeirão Preto;070/2019;PREGÃO ELETRÔNICO;ALIMENTAR DISTRIBUIDORA DE CARNES  E FRIOS EIRELI;23/01/2020 00:00;04/03/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1372505
"Penitenciária ""Nelson Vieira""";090/2019;PREGÃO ELETRÔNICO;ROBERTO CARLOS GRILLO ME;27/12/2019 00:00;04/03/2020 00:00;3;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1371746
Penitenciária Luiz Gonzaga Vieira de Pirajuí;1182019PLGV;PREGÃO ELETRÔNICO;COLINA TGRANSPORTE E COMERCIO DE CEREAIS EIRELI;19/12/2019 00:00;05/03/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1381641
Centro de Estudo da Procuradoria Geral do Estado;2020NE00087;CONVITE;Deletro Distribuidora Ltda. - ME;02/03/2020 00:00;05/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389053
1ª Delegacia Seccional de Polícia Judiciária da Capital;008/2017;PREGÃO ELETRÔNICO;A L GAIGHER ELEVADORES EPP;20/02/2020 00:00;05/03/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1161940
Centro de Estudo da Procuradoria Geral do Estado;2020NE00088;CONVITE;ACR Indústria e Comércio de Papéis Ltda. - ME;02/03/2020 00:00;05/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389053
Usp - Instituto de Química;019/2019;PREGÃO ELETRÔNICO;Abex Comercial Importação e Exportação Ltda EPP;19/02/2020 00:00;05/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1361477
Centro de Estudo da Procuradoria Geral do Estado;2020NE00089;CONVITE;Wifran Comercial Ltda. - ME;02/03/2020 00:00;05/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389053
Centro de Estudo da Procuradoria Geral do Estado;2020NE00090;CONVITE;Wifran Comercial Ltda. - ME;02/03/2020 00:00;05/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389053
Penitenciária Luiz Gonzaga Vieira de Pirajuí;1102019PLGV;PREGÃO ELETRÔNICO;DILAINI ENCARNAÇÃO GALHARDO LOLI ME;20/12/2019 00:00;05/03/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1381643
Hospital Regional Sul;001/2020;PREGÃO ELETRÔNICO;S&M CO TRANSPORTES DE CARGAS EIRELI ME;01/03/2020 00:00;05/03/2020 00:00;30;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1363317
Centro de Estudo da Procuradoria Geral do Estado;2020NE00091;CONVITE;Resgat Comércio de Produtos de Limpeza EIRELI;02/03/2020 00:00;05/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389053
Penitenciária Luiz Gonzaga Vieira de Pirajuí;1112019PLGV;PREGÃO ELETRÔNICO;ROBERTO CARLOS GRILLO ME;20/12/2019 00:00;05/03/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1381643
Centro de Estudo da Procuradoria Geral do Estado;2020NE00092;CONVITE;Loide Florêncio de Souza Colognesi;02/03/2020 00:00;05/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389053
